product_id,product_name,unit_price,segment,category,subcategory
FUR-BO-3174,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",108.92296000000002,Consumer,Furniture,Bookcases
FUR-BO-3175,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",218.93322222222199,Home Office,Furniture,Bookcases
FUR-BO-3176,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",206.55827027027013,Home Office,Furniture,Bookcases
FUR-BO-3177,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",205.64785652173913,Corporate,Furniture,Bookcases
FUR-BO-3409,Bestar Classic Bookcase,66.97156304347823,Corporate,Furniture,Bookcases
FUR-BO-3615,"Bush 3-Shelf Cabinet, Metal",115.92754941176472,Home Office,Furniture,Bookcases
FUR-BO-3616,"Bush 3-Shelf Cabinet, Mobile",105.85866818181822,Home Office,Furniture,Bookcases
FUR-BO-3617,"Bush 3-Shelf Cabinet, Pine",110.358276923077,Home Office,Furniture,Bookcases
FUR-BO-3618,"Bush 3-Shelf Cabinet, Traditional",119.57869528301902,Home Office,Furniture,Bookcases
FUR-BO-3621,"Bush Andora Bookcase, Maple/Graphite Gray Finish",99.74168750000001,Home Office,Furniture,Bookcases
FUR-BO-3623,"Bush Birmingham Collection Bookcase, Dark Cherry",91.686,Corporate,Furniture,Bookcases
FUR-BO-3624,"Bush Classic Bookcase, Metal",319.84286323529375,Home Office,Furniture,Bookcases
FUR-BO-3625,"Bush Classic Bookcase, Mobile",343.35062857142907,Home Office,Furniture,Bookcases
FUR-BO-3626,"Bush Classic Bookcase, Pine",335.5134999999999,Home Office,Furniture,Bookcases
FUR-BO-3627,"Bush Classic Bookcase, Traditional",337.6472727272731,Home Office,Furniture,Bookcases
FUR-BO-3628,"Bush Corner Shelving, Metal",92.62784313725491,Home Office,Furniture,Bookcases
FUR-BO-3629,"Bush Corner Shelving, Mobile",97.61048849557515,Home Office,Furniture,Bookcases
FUR-BO-3630,"Bush Corner Shelving, Pine",99.54567076923085,Home Office,Furniture,Bookcases
FUR-BO-3631,"Bush Corner Shelving, Traditional",83.43868115942017,Home Office,Furniture,Bookcases
FUR-BO-3632,"Bush Cubix Collection Bookcases, Fully Assembled",173.3843076923077,Corporate,Furniture,Bookcases
FUR-BO-3634,"Bush Floating Shelf Set, Metal",134.26583119266024,Home Office,Furniture,Bookcases
FUR-BO-3635,"Bush Floating Shelf Set, Mobile",129.1721969696971,Home Office,Furniture,Bookcases
FUR-BO-3636,"Bush Floating Shelf Set, Pine",136.50976216216225,Home Office,Furniture,Bookcases
FUR-BO-3637,"Bush Floating Shelf Set, Traditional",133.3090602739727,Home Office,Furniture,Bookcases
FUR-BO-3638,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",107.25324615384616,Home Office,Furniture,Bookcases
FUR-BO-3639,"Bush Library with Doors, Metal",305.68064347826015,Home Office,Furniture,Bookcases
FUR-BO-3640,"Bush Library with Doors, Mobile",288.2726929133856,Home Office,Furniture,Bookcases
FUR-BO-3641,"Bush Library with Doors, Pine",245.83288421052637,Home Office,Furniture,Bookcases
FUR-BO-3642,"Bush Library with Doors, Traditional",266.7429599999999,Home Office,Furniture,Bookcases
FUR-BO-3643,Bush Mission Pointe Library,121.64674285714284,Home Office,Furniture,Bookcases
FUR-BO-3644,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,Consumer,Furniture,Bookcases
FUR-BO-3645,Bush Somerset Collection Bookcase,98.96266666666669,Consumer,Furniture,Bookcases
FUR-BO-3646,"Bush Stackable Bookrack, Mobile",93.47329577464795,Home Office,Furniture,Bookcases
FUR-BO-3647,"Bush Stackable Bookrack, Pine",93.82757627118643,Home Office,Furniture,Bookcases
FUR-BO-3648,"Bush Stackable Bookrack, Traditional",100.12328559322034,Home Office,Furniture,Bookcases
FUR-BO-3649,"Bush Westfield Collection Bookcases, Dark Cherry Finish",43.65552941176471,Home Office,Furniture,Bookcases
FUR-BO-3650,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",30.294000000000004,Corporate,Furniture,Bookcases
FUR-BO-3651,"Bush Westfield Collection Bookcases, Fully Assembled",80.92045945945952,Corporate,Furniture,Bookcases
FUR-BO-3652,"Bush Westfield Collection Bookcases, Medium Cherry Finish",43.786495999999985,Home Office,Furniture,Bookcases
FUR-BO-3885,"Dania 3-Shelf Cabinet, Metal",101.8834558823528,Home Office,Furniture,Bookcases
FUR-BO-3886,"Dania 3-Shelf Cabinet, Mobile",128.61319999999978,Home Office,Furniture,Bookcases
FUR-BO-3887,"Dania 3-Shelf Cabinet, Pine",102.34000000000007,Home Office,Furniture,Bookcases
FUR-BO-3888,"Dania 3-Shelf Cabinet, Traditional",117.56991176470582,Home Office,Furniture,Bookcases
FUR-BO-3889,"Dania Classic Bookcase, Metal",318.20202352941163,Corporate,Furniture,Bookcases
FUR-BO-3890,"Dania Classic Bookcase, Mobile",309.5953411764708,Home Office,Furniture,Bookcases
FUR-BO-3891,"Dania Classic Bookcase, Pine",295.92449752066153,Home Office,Furniture,Bookcases
FUR-BO-3892,"Dania Classic Bookcase, Traditional",276.39784615384616,Home Office,Furniture,Bookcases
FUR-BO-3893,"Dania Corner Shelving, Metal",82.91890625000002,Home Office,Furniture,Bookcases
FUR-BO-3894,"Dania Corner Shelving, Mobile",93.09180222222231,Home Office,Furniture,Bookcases
FUR-BO-3895,"Dania Corner Shelving, Pine",82.88948148148155,Home Office,Furniture,Bookcases
FUR-BO-3896,"Dania Corner Shelving, Traditional",108.12475175438585,Home Office,Furniture,Bookcases
FUR-BO-3897,"Dania Floating Shelf Set, Metal",142.42204952380948,Home Office,Furniture,Bookcases
FUR-BO-3898,"Dania Floating Shelf Set, Mobile",118.89443209876542,Home Office,Furniture,Bookcases
FUR-BO-3899,"Dania Floating Shelf Set, Pine",125.80590000000007,Home Office,Furniture,Bookcases
FUR-BO-3900,"Dania Floating Shelf Set, Traditional",117.71665760869564,Home Office,Furniture,Bookcases
FUR-BO-3901,"Dania Library with Doors, Metal",277.889923076923,Home Office,Furniture,Bookcases
FUR-BO-3902,"Dania Library with Doors, Mobile",302.4240711111107,Home Office,Furniture,Bookcases
FUR-BO-3903,"Dania Library with Doors, Pine",266.75,Home Office,Furniture,Bookcases
FUR-BO-3904,"Dania Library with Doors, Traditional",289.256962406015,Home Office,Furniture,Bookcases
FUR-BO-3905,"Dania Stackable Bookrack, Mobile",91.29282178217827,Home Office,Furniture,Bookcases
FUR-BO-3906,"Dania Stackable Bookrack, Pine",96.586437433155,Home Office,Furniture,Bookcases
FUR-BO-3907,"Dania Stackable Bookrack, Traditional",96.2105399999999,Home Office,Furniture,Bookcases
FUR-BO-3978,DMI Eclipse Executive Suite Bookcases,409.35339473684206,Consumer,Furniture,Bookcases
FUR-BO-4391,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",430.97999999999996,Corporate,Furniture,Bookcases
FUR-BO-4621,Hon 4-Shelf Metal Bookcases,78.86057142857145,Corporate,Furniture,Bookcases
FUR-BO-4666,"Hon Metal Bookcases, Black",54.042703448275866,Corporate,Furniture,Bookcases
FUR-BO-4667,"Hon Metal Bookcases, Gray",70.98,Home Office,Furniture,Bookcases
FUR-BO-4668,"Hon Metal Bookcases, Putty",68.23238709677422,Home Office,Furniture,Bookcases
FUR-BO-4844,"Ikea 3-Shelf Cabinet, Metal",101.90624271844666,Home Office,Furniture,Bookcases
FUR-BO-4845,"Ikea 3-Shelf Cabinet, Mobile",100.05656565656574,Home Office,Furniture,Bookcases
FUR-BO-4846,"Ikea 3-Shelf Cabinet, Pine",112.22835268817215,Home Office,Furniture,Bookcases
FUR-BO-4847,"Ikea 3-Shelf Cabinet, Traditional",103.75863749999989,Corporate,Furniture,Bookcases
FUR-BO-4848,"Ikea Classic Bookcase, Metal",328.7953933333331,Home Office,Furniture,Bookcases
FUR-BO-4849,"Ikea Classic Bookcase, Mobile",332.9675730337081,Home Office,Furniture,Bookcases
FUR-BO-4850,"Ikea Classic Bookcase, Pine",315.4629056603774,Home Office,Furniture,Bookcases
FUR-BO-4851,"Ikea Classic Bookcase, Traditional",370.9688478260869,Home Office,Furniture,Bookcases
FUR-BO-4852,"Ikea Corner Shelving, Metal",98.90750731707325,Home Office,Furniture,Bookcases
FUR-BO-4853,"Ikea Corner Shelving, Mobile",105.79967605633804,Home Office,Furniture,Bookcases
FUR-BO-4854,"Ikea Corner Shelving, Pine",93.55434523809515,Home Office,Furniture,Bookcases
FUR-BO-4855,"Ikea Corner Shelving, Traditional",92.00200000000002,Home Office,Furniture,Bookcases
FUR-BO-4856,"Ikea Floating Shelf Set, Metal",126.18026666666667,Home Office,Furniture,Bookcases
FUR-BO-4857,"Ikea Floating Shelf Set, Mobile",125.72495081967207,Home Office,Furniture,Bookcases
FUR-BO-4858,"Ikea Floating Shelf Set, Pine",128.94315643564352,Home Office,Furniture,Bookcases
FUR-BO-4859,"Ikea Floating Shelf Set, Traditional",129.27377791411058,Home Office,Furniture,Bookcases
FUR-BO-4860,"Ikea Library with Doors, Metal",301.8566428571425,Home Office,Furniture,Bookcases
FUR-BO-4861,"Ikea Library with Doors, Mobile",273.9633846153845,Home Office,Furniture,Bookcases
FUR-BO-4862,"Ikea Library with Doors, Pine",242.56401960784328,Home Office,Furniture,Bookcases
FUR-BO-4863,"Ikea Library with Doors, Traditional",296.70853465346494,Corporate,Furniture,Bookcases
FUR-BO-4864,"Ikea Stackable Bookrack, Metal",91.3646341463415,Home Office,Furniture,Bookcases
FUR-BO-4865,"Ikea Stackable Bookrack, Mobile",93.66991735537192,Home Office,Furniture,Bookcases
FUR-BO-4866,"Ikea Stackable Bookrack, Pine",109.72395000000012,Home Office,Furniture,Bookcases
FUR-BO-4867,"Ikea Stackable Bookrack, Traditional",107.1389555555556,Home Office,Furniture,Bookcases
FUR-BO-5519,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,152.9501707317072,Corporate,Furniture,Bookcases
FUR-BO-5520,O'Sullivan 2-Shelf Heavy-Duty Bookcases,37.86382352941176,Corporate,Furniture,Bookcases
FUR-BO-5521,O'Sullivan 3-Shelf Heavy-Duty Bookcases,49.30719230769231,Home Office,Furniture,Bookcases
